Platform,Product ID,Product Name,Category,Sub-Category
Blinkit,619290,Lorazzo Imperial Health Faucet Set,Bathroom Essentials,Bathroom Essentials
Blinkit,620826,Lorazzo S1 Health Faucet Set,Bathroom Essentials,Bathroom Essentials
Blinkit,582417,M-Seal Feviseal Bathroom & Kitchen Gap Filler Acrylic Sealant,Bathroom Essentials,Bathroom Essentials
Blinkit,481228,"M-Seal Sanitary White Putty Sealant For Plumbing (Resin, White)",Bathroom Essentials,Bathroom Essentials
Blinkit,595018,"Mr. Right Foldable Laundry Bag (Yellow, Brown)",Bathroom Essentials,Bathroom Essentials
Blinkit,606862,Mr. Right Laundry Bag with Handles (Green),Bathroom Essentials,Bathroom Essentials
Blinkit,606831,Mr. Right Laundry Bag with Handles (Multicolour),Bathroom Essentials,Bathroom Essentials
Blinkit,601068,"Mush Bamboo Bath Towel (29"" x 59"", Blue)",Bathroom Essentials,Bathroom Essentials
Blinkit,601042,"Mush Bamboo Face Towel (13"" x 13"", Grey, Navy Blue, Sky Blue)",Bathroom Essentials,Bathroom Essentials
Blinkit,601075,"Mush Tap & Dry Bamboo Face Towel (12"" x 12"", Multicolour)",Bathroom Essentials,Bathroom Essentials
Blinkit,569313,"Nabaiji by Decathlon Microfiber Polyester Bath Towel (L, Maroon)",Bathroom Essentials,Bathroom Essentials
Blinkit,541476,"Nautica Vintage Crew Stripe Super Soft Cotton Bath Towel (60"" x 30"", Burgundy)",Bathroom Essentials,Bathroom Essentials
Blinkit,541477,"Nautica Vintage Crew Stripe Super Soft Cotton Bath Towel (60"" x 30"", Grey)",Bathroom Essentials,Bathroom Essentials
Blinkit,541478,"Nautica Vintage Crew Stripe Super Soft Cotton Bath Towel (60"" x 30"", Royal Blue)",Bathroom Essentials,Bathroom Essentials
Blinkit,541479,"Nautica Vintage Crew Stripe Super Soft Cotton Face Towel (12"" x 12"", Burgundy)",Bathroom Essentials,Bathroom Essentials
Blinkit,541480,"Nautica Vintage Crew Stripe Super Soft Cotton Face Towel (12"" x 12"", Grey)",Bathroom Essentials,Bathroom Essentials
Blinkit,541481,"Nautica Vintage Crew Stripe Super Soft Cotton Face Towel (12"" x 12"", Royal Blue)",Bathroom Essentials,Bathroom Essentials
Blinkit,541538,"Nautica Vintage Crew Stripe Super Soft Cotton Hand Towel (24"" x 16"", Burgundy)",Bathroom Essentials,Bathroom Essentials
Blinkit,541482,"Nautica Vintage Crew Stripe Super Soft Cotton Hand Towel (24"" x 16"", Grey)",Bathroom Essentials,Bathroom Essentials
Blinkit,541537,"Nautica Vintage Crew Stripe Super Soft Cotton Hand Towel (24"" x 16"", Royal Blue)",Bathroom Essentials,Bathroom Essentials
Blinkit,544847,"Nayasa Bath Stool (Plastic, Brown, White)",Bathroom Essentials,Bathroom Essentials
Blinkit,526342,"Nayasa Bubble Soap Dispenser (Plastic, Light Brown)",Bathroom Essentials,Bathroom Essentials
Blinkit,526281,Nayasa Extra Grip Max Plastic Cloth Hanger (Orange),Bathroom Essentials,Bathroom Essentials
Blinkit,548908,Nayasa Extra Grip Plastic Cloth Hanger Set (Grey),Bathroom Essentials,Bathroom Essentials
Blinkit,354891,Nayasa Frosty Bathroom Mug (Blue),Bathroom Essentials,Bathroom Essentials
Blinkit,526332,Nayasa Frosty Bucket (Blue),Bathroom Essentials,Bathroom Essentials
Blinkit,543719,Nayasa Gloria Plastic Multipurpose Basket (Brown),Bathroom Essentials,Bathroom Essentials
Blinkit,526341,"Nayasa Plastic Lumina Soap Case (Plastic, Brown)",Bathroom Essentials,Bathroom Essentials
Blinkit,543755,Nayasa Plastic Multipurpose Basket (Grey),Bathroom Essentials,Bathroom Essentials
Blinkit,564543,"Nayasa Rimmy Set of 6 Bathroom Set (Plastic, Brown)",Bathroom Essentials,Bathroom Essentials
Blinkit,526334,Nayasa SQ Ring Bathroom Mug (Brown),Bathroom Essentials,Bathroom Essentials
Blinkit,526333,Nayasa SQ Ring Printed Bucket (Beige),Bathroom Essentials,Bathroom Essentials
Blinkit,629546,"New Dawn Bathroom Shelf (Plastic, Multicolour)",Bathroom Essentials,Bathroom Essentials
Blinkit,629539,"New Dawn Liquid Soap Dispenser (Plastic, Multicolour)",Bathroom Essentials,Bathroom Essentials
Blinkit,609647,New Dawn Stainless Steel Cloth Clips (Silver),Bathroom Essentials,Bathroom Essentials
Blinkit,588424,"Nike Cooling Polyester Hand Towel (Small, Black)",Bathroom Essentials,Bathroom Essentials
Blinkit,556170,"OCKO Circular Clear Wall Mirror With Black Finish Aluminium Frame (12"")",Bathroom Essentials,Bathroom Essentials
Blinkit,627764,"Peepul Tree Hand Block Printed Cotton Bath Towel (60"" x 30"" x 0.1"", White)",Bathroom Essentials,Bathroom Essentials
Blinkit,627761,"Peepul Tree Hand Block Printed Cotton Hand Towel (24"" x 16"" x 0.1"", White)",Bathroom Essentials,Bathroom Essentials
Blinkit,592548,Pesca Nova Health Faucet without Pipe,Bathroom Essentials,Bathroom Essentials
Blinkit,592550,Pesca Nova Health Faucet without Pipe (Black-Silver),Bathroom Essentials,Bathroom Essentials
Blinkit,592589,Pesca Nova Health Faucet without Pipe (Matte Black),Bathroom Essentials,Bathroom Essentials
Blinkit,592593,Pesca Nova Health Faucet without Pipe (Silver),Bathroom Essentials,Bathroom Essentials
Blinkit,594343,"Pesca Retractable Rope Cloth Hanger (Stainless Steel, Silver)",Bathroom Essentials,Bathroom Essentials
Blinkit,536385,"PrettyKrafts 75 Ltr Black & Grey Laundry Basket with Lid & Handles (Black, Grey)",Bathroom Essentials,Bathroom Essentials
Blinkit,535660,"PrettyKrafts Chevron Print 45 Ltrs Laundry Bag (Black, White)",Bathroom Essentials,Bathroom Essentials
Blinkit,559343,Ratan Brooms Simpli Clean Plastic Cloth Brush (Multicolour),Bathroom Essentials,Bathroom Essentials
Blinkit,582679,RiverSoft ABS Tap Extender For Kitchen Sink,Bathroom Essentials,Bathroom Essentials
Blinkit,577482,RiverSoft DIVA-01 Hard Water Shower Filter,Bathroom Essentials,Bathroom Essentials
Blinkit,577713,RiverSoft DIVA-05 Hard Water Shower Filter,Bathroom Essentials,Bathroom Essentials
Blinkit,615730,"RiverSoft Hard Water Softener Shower & Tap Filter (ABS Plastic, Silver)",Bathroom Essentials,Bathroom Essentials
Blinkit,621279,RiverSoft Kitchen Tap Extender with Filter,Bathroom Essentials,Bathroom Essentials
Blinkit,577712,RiverSoft SF-15 Pro Hard Water Tap & Shower Filter,Bathroom Essentials,Bathroom Essentials
Blinkit,577485,RiverSoft SFC-15 Pro Tap & Shower Filter Cartridge,Bathroom Essentials,Bathroom Essentials
Blinkit,625999,Royalkart Foldable Polyester Laundry Basket (Off White),Bathroom Essentials,Bathroom Essentials
Blinkit,609437,Sakoraware 20 mtrs Braided Nylon Cloth Rope (Multicolour),Bathroom Essentials,Bathroom Essentials
Blinkit,628408,"Scotch Brite Bathroom Tile Scrubber (Plastic, Green)",Bathroom Essentials,Bathroom Essentials
Blinkit,109897,Scotch Brite Dishwand Soap Dispenser (Pump),Bathroom Essentials,Bathroom Essentials
Blinkit,11274,Scotch Brite Tough Bathroom Tile Brush,Bathroom Essentials,Bathroom Essentials
Blinkit,430971,"Simply Home Cotton Bath Towel (27.6"" x 55.1"", Red)",Bathroom Essentials,Bathroom Essentials
Blinkit,615740,Sole Module Mounted Foldable Aluminium Drying Rack (White),Bathroom Essentials,Bathroom Essentials
Blinkit,481156,Sophiya Plastic Cloth Clips - Set of 12 (Multicolour),Bathroom Essentials,Bathroom Essentials
Blinkit,628588,The Better Home Bamboo Laundry Basket (Light Brown),Bathroom Essentials,Bathroom Essentials
Blinkit,626522,"The Better Home Bathroom Accessories Set (ABS + Bamboo, Multicolour)",Bathroom Essentials,Bathroom Essentials
Blinkit,626476,"The Better Home Bathroom Accessories Set (Ceramic, Green)",Bathroom Essentials,Bathroom Essentials
Blinkit,626503,"The Better Home Bathroom Accessories Set (PP + ABS, Light Pink)",Bathroom Essentials,Bathroom Essentials
Blinkit,606768,"The Better Home Liquid Soap Dispenser (Ceramic, Green)",Bathroom Essentials,Bathroom Essentials
Blinkit,606846,"The Better Home Liquid Soap Dispenser For Bathroom (Ceramic, Grey)",Bathroom Essentials,Bathroom Essentials
Blinkit,606853,"The Better Home Marble Print Soap Dispenser (Ceramic, Black)",Bathroom Essentials,Bathroom Essentials
Blinkit,620846,The Better Home Polyester Laundry Basket (Yellow),Bathroom Essentials,Bathroom Essentials
Blinkit,606875,"The Better Home Premium Bathroom Soap Dispenser (Ceramic, Black)",Bathroom Essentials,Bathroom Essentials
Blinkit,606761,"The Better Home Round Soap Dispenser (Ceramic, Black)",Bathroom Essentials,Bathroom Essentials
Blinkit,606864,"The Better Home Soap Dispenser For Bathroom (Ceramic, Green)",Bathroom Essentials,Bathroom Essentials
Blinkit,606784,"The Better Home Square Soap Dispenser For Bathroom (Ceramic, Black)",Bathroom Essentials,Bathroom Essentials
Blinkit,636302,Tinums Stainless Steel Cloth Hanger (Silver),Bathroom Essentials,Bathroom Essentials
Blinkit,569577,WaterScience Health Faucet (PURO HFE 124 Chrome) (Chrome),Bathroom Essentials,Bathroom Essentials
Blinkit,569576,WaterScience Kitchen Tap Extender Compact-AERA WSN-523-C,Bathroom Essentials,Bathroom Essentials
Blinkit,631530,WaterScience Kitchen Tap Extender for Sink AERA WSN-523 (Silver),Bathroom Essentials,Bathroom Essentials
Blinkit,569269,WaterScience Replacement Filter Cartridge for CLEO Shower & Tap Filter CLEO-RC-100-HHC (White),Bathroom Essentials,Bathroom Essentials
Blinkit,591371,WaterScience Shower & Tap Filter for Hard Water - CLEO-SFU-423 (Silver),Bathroom Essentials,Bathroom Essentials
Blinkit,569253,WaterScience Shower Filter for Hard Water CLEO-SFS-423,Bathroom Essentials,Bathroom Essentials
Blinkit,569250,WaterScience Shower and Tap Filter for Hard Water CLEO SFU-717 HHC,Bathroom Essentials,Bathroom Essentials
Blinkit,560140,"Welspun 100% Cotton 4 pc Towel Set (380 GSM, Grey)",Bathroom Essentials,Bathroom Essentials
Blinkit,557198,"Welspun 100% Cotton Quik Absorbent Cotton Bath Towel (59"" x 27.6"", Black)",Bathroom Essentials,Bathroom Essentials
Blinkit,557184,"Welspun 100% Cotton Quik Absorbent Cotton Bath Towel (59"" x 27.6"", Blue)",Bathroom Essentials,Bathroom Essentials
Blinkit,557105,"Welspun 100% Cotton Quik Absorbent Cotton Bath Towel (59"" x 27.6"", Green)",Bathroom Essentials,Bathroom Essentials
Blinkit,557183,"Welspun 100% Cotton Quik Absorbent Cotton Bath Towel (59"" x 27.6"", Grey)",Bathroom Essentials,Bathroom Essentials
Blinkit,557186,"Welspun 100% Cotton Quik Absorbent Cotton Bath Towel (59"" x 27.6"", Pink)",Bathroom Essentials,Bathroom Essentials
